organism,filename,onecodex_id,barcode_id,subject_id,cohort_id,timepoint,date_collected,date_received,analysis_date,analysis_workflow_passed,n_reads,mean_read_length,stdev_read_length,shannon_diversity,species_richness,n_markers_detected,n_markers_total,proportion_markers_detected,mean_marker_depth,normalized_marker_depth,detection_status,n_classified_reads,proportion_classified_reads,est_relative_abundance,targeted_panel_relative_abundance
VE303-05,10_VE303_gDNA_S284_001.fastq.gz,ba91ad8fe6754147,,,,,,2021-11-03 10:45:46.575876-04:00,2021-11-04 13:39:16.928378-04:00,TRUE,50831302,145.1044695,17.6408254,6.46541124,217,6675,6722,0.993,8.11,0.159547359,Detected,157223,0.003938301,0.013177198,0.00656709
VE303-06,10_VE303_gDNA_S284_001.fastq.gz,ba91ad8fe6754147,,,,,,2021-11-03 10:45:46.575876-04:00,2021-11-04 13:39:16.928378-04:00,TRUE,50831302,145.1044695,17.6408254,6.46541124,217,1341,1342,0.999,12.39,0.243747445,Detected,0,0,0,0.005725228
VE303-07,10_VE303_gDNA_S284_001.fastq.gz,ba91ad8fe6754147,,,,,,2021-11-03 10:45:46.575876-04:00,2021-11-04 13:39:16.928378-04:00,TRUE,50831302,145.1044695,17.6408254,6.46541124,217,724,725,0.999,12.81,0.25201007,Detected,36233,0.000907605,0.023448565,0.007498262
VE303-08,10_VE303_gDNA_S284_001.fastq.gz,ba91ad8fe6754147,,,,,,2021-11-03 10:45:46.575876-04:00,2021-11-04 13:39:16.928378-04:00,TRUE,50831302,145.1044695,17.6408254,6.46541124,217,631,633,0.997,11.32,0.222697424,Detected,0,0,0,0.007133667
VE303-01,COUK0026_S287_001.fastq.gz,8343a8bb57324749,,,,,,2021-11-04 13:36:08.993997-04:00,2021-11-04 15:21:54.097520-04:00,TRUE,44163334,145.9698852,16.27630702,6.529643983,231,1,338,0.003,0,0,Not detected,0,0,0,0
VE303-02,COUK0026_S287_001.fastq.gz,8343a8bb57324749,,,,,,2021-11-04 13:36:08.993997-04:00,2021-11-04 15:21:54.097520-04:00,TRUE,44163334,145.9698852,16.27630702,6.529643983,231,3,1460,0.002,0,0,Not detected,22,6.50E-07,0,0
VE303-03,COUK0026_S287_001.fastq.gz,8343a8bb57324749,,,,,,2021-11-04 13:36:08.993997-04:00,2021-11-04 15:21:54.097520-04:00,TRUE,44163334,145.9698852,16.27630702,6.529643983,231,8,778,0.01,0.02,0.000452864,Not detected,0,0,0,9.81E-06
VE303-04,COUK0026_S287_001.fastq.gz,8343a8bb57324749,,,,,,2021-11-04 13:36:08.993997-04:00,2021-11-04 15:21:54.097520-04:00,TRUE,44163334,145.9698852,16.27630702,6.529643983,231,0,236,0,0,0,Not detected,0,0,0,0
VE303-05,COUK0026_S287_001.fastq.gz,8343a8bb57324749,,,,,,2021-11-04 13:36:08.993997-04:00,2021-11-04 15:21:54.097520-04:00,TRUE,44163334,145.9698852,16.27630702,6.529643983,231,13,6722,0.002,0.01,0.000226432,Not detected,0,0,0,9.26E-06
VE303-06,COUK0026_S287_001.fastq.gz,8343a8bb57324749,,,,,,2021-11-04 13:36:08.993997-04:00,2021-11-04 15:21:54.097520-04:00,TRUE,44163334,145.9698852,16.27630702,6.529643983,231,30,1342,0.022,0.11,0.002490754,Not detected,0,0,0,5.82E-05
VE303-07,COUK0026_S287_001.fastq.gz,8343a8bb57324749,,,,,,2021-11-04 13:36:08.993997-04:00,2021-11-04 15:21:54.097520-04:00,TRUE,44163334,145.9698852,16.27630702,6.529643983,231,3,725,0.004,0,0,Not detected,51,1.51E-06,0,0
VE303-08,COUK0026_S287_001.fastq.gz,8343a8bb57324749,,,,,,2021-11-04 13:36:08.993997-04:00,2021-11-04 15:21:54.097520-04:00,TRUE,44163334,145.9698852,16.27630702,6.529643983,231,1,633,0.002,0,0,Not detected,0,0,0,0
VE303-01,0_1_VE303_gDNA_S286_001.fastq.gz,baae9216085a460a,,,,,,2021-11-04 13:36:08.979625-04:00,2021-11-04 15:21:54.100968-04:00,TRUE,49480308,146.2184334,15.52346163,6.444066896,216,13,338,0.038,0.06,0.001212604,Not detected,120,3.17E-06,0,5.00E-05
VE303-02,0_1_VE303_gDNA_S286_001.fastq.gz,baae9216085a460a,,,,,,2021-11-04 13:36:08.979625-04:00,2021-11-04 15:21:54.100968-04:00,TRUE,49480308,146.2184334,15.52346163,6.444066896,216,137,1460,0.094,0.14,0.002829408,Not detected,81,2.14E-06,0,6.73E-05
VE303-03,0_1_VE303_gDNA_S286_001.fastq.gz,baae9216085a460a,,,,,,2021-11-04 13:36:08.979625-04:00,2021-11-04 15:21:54.100968-04:00,TRUE,49480308,146.2184334,15.52346163,6.444066896,216,86,778,0.111,0.18,0.003637811,Not detected,2,5.28E-08,0,7.87E-05
VE303-04,0_1_VE303_gDNA_S286_001.fastq.gz,baae9216085a460a,,,,,,2021-11-04 13:36:08.979625-04:00,2021-11-04 15:21:54.100968-04:00,TRUE,49480308,146.2184334,15.52346163,6.444066896,216,24,236,0.102,0.17,0.00343571,Detected,0,0,0,0.000122104
VE303-05,0_1_VE303_gDNA_S286_001.fastq.gz,baae9216085a460a,,,,,,2021-11-04 13:36:08.979625-04:00,2021-11-04 15:21:54.100968-04:00,TRUE,49480308,146.2184334,15.52346163,6.444066896,216,342,6722,0.051,0.09,0.001818905,Not detected,1511,3.99E-05,0.000177637,7.43E-05
VE303-06,0_1_VE303_gDNA_S286_001.fastq.gz,baae9216085a460a,,,,,,2021-11-04 13:36:08.979625-04:00,2021-11-04 15:21:54.100968-04:00,TRUE,49480308,146.2184334,15.52346163,6.444066896,216,140,1342,0.104,0.33,0.00666932,Not detected,0,0,0,0.000155458
VE303-07,0_1_VE303_gDNA_S286_001.fastq.gz,baae9216085a460a,,,,,,2021-11-04 13:36:08.979625-04:00,2021-11-04 15:21:54.100968-04:00,TRUE,49480308,146.2184334,15.52346163,6.444066896,216,65,725,0.09,0.13,0.002627308,Detected,453,1.20E-05,0.015246678,7.76E-05
VE303-08,0_1_VE303_gDNA_S286_001.fastq.gz,baae9216085a460a,,,,,,2021-11-04 13:36:08.979625-04:00,2021-11-04 15:21:54.100968-04:00,TRUE,49480308,146.2184334,15.52346163,6.444066896,216,43,633,0.068,0.12,0.002425207,Not detected,0,0,0,7.71E-05
VE303-01,1_VE303_gDNA_S285_001.fastq.gz,1df98e6866354252,,,,,,2021-11-04 13:36:09.347387-04:00,2021-11-04 15:21:54.173552-04:00,TRUE,44553682,146.0540329,16.3421474,6.735539652,251,133,338,0.393,0.69,0.015486936,Detected,1060,3.09E-05,0,0.000639453
VE303-02,1_VE303_gDNA_S285_001.fastq.gz,1df98e6866354252,,,,,,2021-11-04 13:36:09.347387-04:00,2021-11-04 15:21:54.173552-04:00,TRUE,44553682,146.0540329,16.3421474,6.735539652,251,784,1460,0.537,1.08,0.024240421,Detected,0,0,0,0.000576833
VE303-03,1_VE303_gDNA_S285_001.fastq.gz,1df98e6866354252,,,,,,2021-11-04 13:36:09.347387-04:00,2021-11-04 15:21:54.173552-04:00,TRUE,44553682,146.0540329,16.3421474,6.735539652,251,544,778,0.699,1.78,0.039951805,Detected,56,1.63E-06,0.039184551,0.000865097
VE303-04,1_VE303_gDNA_S285_001.fastq.gz,1df98e6866354252,,,,,,2021-11-04 13:36:09.347387-04:00,2021-11-04 15:21:54.173552-04:00,TRUE,44553682,146.0540329,16.3421474,6.735539652,251,116,236,0.492,0.94,0.021098144,Detected,0,0,0,0.000750666
VE303-05,1_VE303_gDNA_S285_001.fastq.gz,1df98e6866354252,,,,,,2021-11-04 13:36:09.347387-04:00,2021-11-04 15:21:54.173552-04:00,TRUE,44553682,146.0540329,16.3421474,6.735539652,251,2615,6722,0.389,0.73,0.016384729,Detected,14205,0.000414682,0.002711899,0.000670023
VE303-06,1_VE303_gDNA_S285_001.fastq.gz,1df98e6866354252,,,,,,2021-11-04 13:36:09.347387-04:00,2021-11-04 15:21:54.173552-04:00,TRUE,44553682,146.0540329,16.3421474,6.735539652,251,771,1342,0.575,1.35,0.030300526,Detected,0,0,0,0.000707083
VE303-07,1_VE303_gDNA_S285_001.fastq.gz,1df98e6866354252,,,,,,2021-11-04 13:36:09.347387-04:00,2021-11-04 15:21:54.173552-04:00,TRUE,44553682,146.0540329,16.3421474,6.735539652,251,411,725,0.567,1.25,0.028056043,Detected,3483,0.000101678,0.013000669,0.000829347
VE303-08,1_VE303_gDNA_S285_001.fastq.gz,1df98e6866354252,,,,,,2021-11-04 13:36:09.347387-04:00,2021-11-04 15:21:54.173552-04:00,TRUE,44553682,146.0540329,16.3421474,6.735539652,251,287,633,0.453,0.89,0.019975902,Detected,0,0,0,0.000635728
